20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
546;30401338;26.2;Adipoq WT;male;Individual;
552;30296991;21.0;Adipoq WT;female;Individual;
551;30398600;22.8;Adipoq WT;female;Individual;
549;30262145;31.0;Adipoq WT;male;Individual;
550;30400692;20.9;Adipoq WT;female;Individual;
547;30302237;20.7;Adipoq WT;female;Individual;
548;30334547;29.7;Adipoq WT;male;Individual;
5;39;31.16;Adipoq KO;male;Individual;
2;24;29.88;Adipoq KO;male;Individual;
13;43;30.44;Adipoq KO;male;Individual;
0;38;33.51;Adipoq KO;male;Individual;
7;23;32.65;Adipoq KO;male;Individual;
1;42;30.04;Adipoq KO;male;Individual;
3;37;32.77;Adipoq KO;male;Individual;
;;;;;;
Date;Time;Animal No.;Box;VO2(3);VCO2(3);WeightBody
;;;;[ml/h];[ml/h];[g]
02/10/2015;23:09;37;male;66,43822;58,65562;32,77
04/10/2015;11:51;24;male;93,402695;84,70999;29,88
02/10/2015;20:23;39;male;121,63853;116,975044;31,16
03/10/2015;21:49;37;male;73,13756;64,93118;32,77
03/10/2015;16:33;23;male;55,952747;53,52518;32,65
04/10/2015;10:51;37;male;86,75589;80,14168;32,77
04/10/2015;05:37;24;male;82,02153;75,549164;29,88
04/10/2015;04:03;37;male;122,22595;115,43538;32,77
03/10/2015;02:05;42;male;109,3616;105,17513;30,04
04/10/2015;08:41;42;male;89,76139;94,19197;30,04
03/10/2015;10:01;42;male;87,824615;90,48668;30,04
03/10/2015;07:11;42;male;93,49443;93,676445;30,04
04/10/2015;01:49;38;male;107,99088;96,93687;33,51
04/10/2015;12:39;42;male;90,261215;91,613495;30,04
03/10/2015;21:21;42;male;80,09623;75,212906;30,04
03/10/2015;12:45;37;male;124,84031;120,58869;32,77
03/10/2015;19:59;24;male;63,817394;54,934658;29,88
04/10/2015;04:37;37;male;88,25668;85,88119;32,77
03/10/2015;21:05;23;male;59,088745;58,352974;32,65
03/10/2015;17:25;43;male;96,37999;79,529106;30,44
04/10/2015;01:55;43;male;86,78341;79,5089;30,44
04/10/2015;01:17;39;male;91,543434;87,83489;31,16
03/10/2015;15:35;37;male;64,799095;64,25658;32,77
