"";"Animal No._NA";"VO2(3)_[ml/h]";"VCO2(3)_[ml/h]";"RER_NA";"Datetime";"LightC_[%]";"Box_NA.x";"Datetime2";"hour";"minutes";"MeasPoint";"diff.sec";"running_total.sec";"running_total.hrs";"running_total.hrs.round";"timeintervalinmin";"running_total.hrs.halfhour";"HP";"HP2";"Animals";"Box_NA.y";"Weight..g."
"4648";235;81;82;1,009;"05/03/2023 21:21";0;7;2023-03-05 21:21:00;21;21;406;900;387000;107,5;107;0,333333333333333;107,333333333333;480,849372;476,51247;"235";"7";"21.5"
"4649";235;61;51;0,837;"10/03/2023 08:21";99;7;2023-03-10 08:21:00;8;21;808;900;772200;214,5;214;0,333333333333333;214,333333333333;344,620476;343,85151;"235";"7";"21.5"
"4650";235;75;66;0,879;"04/03/2023 17:51";99;7;2023-03-04 17:51:00;17;51;302;900;288000;80;80;0,833333333333333;80,8333333333333;428,9679;427,27275;"235";"7";"21.5"
"4651";235;96;94;0,977;"05/03/2023 19:36";0;7;2023-03-05 19:36:00;19;36;399;900;380700;105,8;105;0,5;105,5;564,771456;560,36256;"235";"7";"21.5"
"4652";235;93;85;0,917;"09/03/2023 00:06";0;7;2023-03-09 00:06:00;0;6;687;900;656100;182,2;182;0;182;537,814908;534,87183;"235";"7";"21.5"
"4653";235;44;33;0,758;"08/03/2023 07:21";99;7;2023-03-08 07:21:00;7;21;624;900;595800;165,5;165;0,333333333333333;165,333333333333;242,780736;243,05336;"235";"7";"21.5"
"4654";235;54;43;0,795;"07/03/2023 09:21";99;7;2023-03-07 09:21:00;9;21;541;900;516600;143,5;143;0,333333333333333;143,333333333333;301,29084;301,1499;"235";"7";"21.5"
"4655";235;33;29;0,902;"05/03/2023 16:21";99;7;2023-03-05 16:21:00;16;21;387;900;369000;102,5;102;0,333333333333333;102,333333333333;190,011888;189,08538;"235";"7";"21.5"
"4656";235;113;28;0,251;"06/03/2023 13:51";99;7;2023-03-06 13:51:00;13;51;468;900;446400;124;124;0,833333333333333;124,833333333333;527,943684;542,27909;"235";"7";"21.5"
"4657";235;99;96;0,967;"02/03/2023 01:36";0;7;2023-03-02 01:36:00;1;36;60;900;56700;15,8;15;0,5;15,5;580,769244;576,45819;"235";"7";"21.5"
"4658";235;84;79;0,932;"09/03/2023 00:21";0;7;2023-03-09 00:21:00;0;21;688;900;657000;182,5;182;0,333333333333333;182,333333333333;487,869984;484,91184;"235";"7";"21.5"
"4659";235;58;51;0,886;"02/03/2023 05:21";0;7;2023-03-02 05:21:00;5;21;74;900;70200;19,5;19;0,333333333333333;19,3333333333333;332,412384;331,00484;"235";"7";"21.5"
"4660";235;43;36;0,841;"07/03/2023 09:36";99;7;2023-03-07 09:36:00;9;36;542;900;517500;143,8;143;0,5;143,5;243,216084;242,63309;"235";"7";"21.5"
"4661";235;92;86;0,942;"05/03/2023 23:36";0;7;2023-03-05 23:36:00;23;36;414;900;395100;109,8;109;0,5;109,5;535,868352;532,40952;"235";"7";"21.5"
"4662";235;110;111;1,015;"01/03/2023 20:36";0;7;2023-03-01 20:36:00;20;36;41;900;38700;10,8;10;0,5;10,5;654,1062;648,0595;"235";"7";"21.5"
"4663";235;87;73;0,843;"09/03/2023 06:06";99;7;2023-03-09 06:06:00;6;6;710;900;677700;188,2;188;0;188;492,378588;491,15763;"235";"7";"21.5"
"4664";235;51;43;0,847;"05/03/2023 14:51";99;7;2023-03-05 14:51:00;14;51;381;900;363600;101;101;0,833333333333333;101,833333333333;288,975996;288,21171;"235";"7";"21.5"
"4665";235;55;50;0,907;"06/03/2023 12:21";99;7;2023-03-06 12:21:00;12;21;462;900;441000;122,5;122;0,333333333333333;122,333333333333;317,14518;315,53555;"235";"7";"21.5"
"4666";235;55;51;0,933;"07/03/2023 21:21";0;7;2023-03-07 21:21:00;21;21;586;900;559800;155,5;155;0,333333333333333;155,333333333333;319,53042;317,58045;"235";"7";"21.5"
"4667";235;86;87;1,015;"05/03/2023 20:21";0;7;2023-03-05 20:21:00;20;21;402;900;383400;106,5;106;0,333333333333333;106,333333333333;511,39212;506,6647;"235";"7";"21.5"
"4668";235;84;82;0,98;"05/03/2023 00:06";0;7;2023-03-05 00:06:00;0;6;326;900;310500;86,2;86;0;86;494,59536;490,6776;"235";"7";"21.5"
