timestep	day	time	daytime	7555	7543	7557	5066	7558	5068
44	day_1	21:48	day	0.41299773602720885	0.6241680806689622	0.6050256717947322	0.5753046495870822	0.41239346065367277	0.5898931739079336
45	day_1	22:03	day	0.5279139299072076	0.6657482202444077	0.5312310919558482	0.5928251725975104	0.371991825817091	0.5518801598569183
46	day_1	22:18	day	0.42291279745501764	0.5575694300193595	0.41538655173508876	0.5752764627251395	0.3474662127533728	0.5805185413175489
47	day_1	22:33	day	0.5460158552622483	0.615974493993601	0.6423944891518201	0.6056678447822208	0.30279564542727444	0.5651286837695354
48	day_1	22:48	day	0.49820498316227135	0.5486716401801469	0.5180896245639028	0.6689869284158974	0.6100043620599644	0.5541679773112466
49	day_1	23:03	day	0.42622083842451963	0.5367081659679509	0.5243506066421378	0.6047924295420366	0.4069752118418117	0.5701369118221694
50	day_1	23:18	day	0.4371019253550407	0.557649910842656	0.42144957473199013	0.6061583496621582	0.5197675763650641	0.5905828832023166
51	day_1	23:33	day	0.44047678473010576	0.6244306940707681	0.594351536414407	0.551922932957875	0.4315389648530728	0.5825365927556108
52	day_1	23:48	day	0.6556217441999539	0.5501022101607874	0.49364798724864395	0.5751164099848669	0.3767950954902546	0.5712535612996636
53	day_1	00:03	day	0.5268946772883895	0.5044272276271792	0.48546218391169627	0.6630203527026167	0.368	0.5887759088566197
54	day_1	00:18	day	0.41715855075930525	0.6097189996141644	0.42182632950580934	0.6414994890765657	0.39066512411019144	0.5471020400936851
55	day_1	00:33	day	0.4161845980912632	0.4801425746625633	0.40014425670875275	0.6087800391891797	0.6003332447968462	0.5809553048860878
56	day_1	00:48	day	0.5288686299564315	0.6042556184695642	0.44260410473896167	0.6186089585585416	0.6055485045194828	0.576738826221522
57	day_1	01:03	day	0.4578618361748804	0.6354781155498496	0.4635914955592556	0.6473869540539839	0.3489648566289203	0.5963670201115704
58	day_1	01:18	day	0.5623895812535346	0.5298941993054961	0.5063884112796271	0.5829818191815541	0.4996896466589185	0.6134570259132144
59	day_1	01:33	day	0.46220385071008135	0.48086522685550814	0.5351769361479473	0.612570425037479	0.41664959129085455	0.6416320001294556
60	day_1	01:48	day	0.41277010195796066	0.5846313997684986	0.458502800767622	0.6254241251125551	0.38786485101349116	0.5851930256543031
61	day_1	02:03	day	0.3566387319143921	0.5200986196270708	0.439078897830364	0.6296705697072038	0.3620133517893546	0.5655283647029766
62	day_1	02:18	day	0.544638731914392	0.6173650096977847	0.38873482249573926	0.6040240994744682	0.36548773872563645	0.5629984046672062
63	day_1	02:33	day	0.47911891306947896	0.49687240792294135	0.582188139218435	0.5645728093468391	0.37271416920764555	0.5477023591602439
64	day_1	02:48	day	0.49714382794924694	0.6475512912155852	0.4491956002982173	0.5585212042416738	0.3489509549025459	0.5846706780973471
65	day_1	03:03	day	0.3701562858549253	0.5827737262508066	0.5000462183911696	0.5671194755254728	0.4118855614392737	0.5317236012638933
66	day_1	03:18	day	0.49637259353909635	0.5191825048488924	0.4215625581107668	0.5852068892267176	0.6095084491514189	0.5244526040999875
67	day_1	03:33	day	0.4011381666198859	0.4843614191640682	0.4088996258009294	0.5425239291666569	0.5119509549025459	0.5724820742562708
68	day_1	03:48	day	0.4849524360764327	0.5810803567331688	0.3988669463617351	0.5569631695570519	0.4221158040442273	0.571534997422817
69	day_1	04:03	day	0.5768527746941832	0.543240884064315	0.44104948404492617	0.5468282381381161	0.38723160808845475	0.5779553048860878
70	day_1	04:18	day	0.4376862967695482	0.5120475455692091	0.3263814036351649	0.5947997106605505	0.38054713903598186	0.5875289802767963
71	day_1	04:33	day	0.37520498316227135	0.49252200854027817	0.46689588381022384	0.5547993700449277	0.3749888292406276	0.5881042510002986
72	day_1	04:48	day	0.29811098590414914	0.5483469329390742	0.49472035377149487	0.6354626586336175	0.40441117450299185	0.5803587920589363
73	day_1	05:03	day	0.43094790533608407	0.6221716712026789	0.43913398341053406	0.6000364898273253	0.3976117169527728	0.589477652443044
74	day_1	05:18	day	0.4044937715129552	0.6060036525787804	0.536091030673121	0.5471318658783297	0.356137330016491	0.5535965128271516
75	day_1	05:33	day	0.40118346563907326	0.5204197983794908	0.5071722643849724	0.5724843737987257	0.3983577673455733	0.5704782680168636
76	day_1	05:48	day	0.4278969431243581	0.5225988367847942	0.44945191061347756	0.5668048198948936	0.5410852883425735	0.585431361996338
77	day_1	06:03	day	0.4620362412648451	0.5703979449518721	0.47360596428349994	0.4953514860735273	0.3884912852391198	0.5818538803662224
78	day_1	06:18	day	0.5099705553114722	0.5659525785209186	0.4625686130813308	0.5922396322821913	0.4555226164872548	0.567107441665886
79	day_1	06:33	day	0.4466862967695482	0.513795641723489	0.5020984917529032	0.6834013881005782	0.37994059968965466	0.5890605356453605
80	day_1	06:48	day	0.3575821065101275	0.5099379682057971	0.5435826283702551	0.6107803798048025	0.3693719346814091	0.5905790769629093
81	day_1	07:03	day	0.36068403186516823	0.44223741762072605	0.4675373397513547	0.5408292599849849	0.37525313406071836	0.57394548150066
82	day_1	07:18	day	0.4664394119446594	0.5934453043858897	0.4980032656537566	0.5592316699324317	0.3587000018718097	0.5259096300132017
83	day_1	07:33	day	0.4621744060215535	0.530543799922833	0.4456685338450813	0.548975219294286	0.3709027253515729	0.5557454589413623
84	day_1	07:48	day	0.49037372599128626	0.50532117875242	0.42789962580092944	0.5514998296921886	0.3867029984482731	0.5628113961589237
85	day_1	08:03	day	0.375976217572422	0.4840949050032266	0.384466379337722	0.5282774845720081	0.48720708553972764	0.5721930256543031
86	day_1	08:18	day	0.3826862967695482	0.445288429633524	0.45782072797056544	0.5519511198198177	0.36111635398124725	0.5250370826350977
87	day_1	08:33	day	0.38141562858549255	0.5336387669711233	0.40750280076762196	0.5500364898273253	0.47028283421589107	0.5407895384814547
88	day_1	08:48	day	0.34067383979545857	0.4693467468038827	0.38089728991944205	0.5275239291666569	0.394991825817091	0.5365147350781417
