timestep	day	time	daytime	5058	7564	7566	7728
103	day_2	11:04	day	0.573489939538009	0.3841070640122502	0.32593367269752954	0.3807706892484106
104	day_2	11:19	day	0.519387146396572	0.37250406811638576	0.31147447204317924	0.35603411298089405
105	day_2	11:34	day	0.5338781801953447	0.361453957733536	0.3119642154751875	0.35385849715923845
106	day_2	11:49	day	0.505682244026675	0.3314569220214241	0.42709626494328234	0.36570121984721954
107	day_2	12:04	day	0.539057004657133	0.37842901267989365	0.3196767290029954	0.3884782806117919
108	day_2	12:19	day	0.6038555971846443	0.39174853341497684	0.3995400429245921	0.3925332189811286
109	day_2	12:34	day	0.5601876538804198	0.39842954903522154	0.3642754901357679	0.40458497159238443
110	day_2	12:49	day	0.5396979879076018	0.35684282560490005	0.3245357088827067	0.48906449564357923
111	day_2	13:04	day	0.5076042977499874	0.3524458215007645	0.3100815986912995	0.3177796248029517
112	day_2	13:19	day	0.5040104708097773	0.33770192367534313	0.30307141776541346	0.4042331182293717
113	day_2	13:34	day	0.49868915848897016	0.3771438662174451	0.3046223980369492	0.3932438417834438
114	day_2	13:49	day	0.508916780652163	0.3943387574885143	0.35844871716004123	0.36587302819109285
115	day_2	14:04	day	0.4559272514619403	0.3682642384073501	0.3127346907901181	0.37283386429301346
116	day_2	14:19	day	0.4552813440380344	0.348859098070443	0.30914283553082694	0.3869267231210266
117	day_2	14:34	day	0.6040735692336325	0.34576017029096434	0.3018111990184746	0.3769071411719869
118	day_2	14:49	day	0.5065210784021502	0.351875370535986	0.30066836348764764	0.37494630507006627
119	day_2	15:04	day	0.5018754445434352	0.35566937874425714	0.33603548195638944	0.3861927108918894
120	day_2	15:19	day	0.47839679651077643	0.3282226425727183	0.40671805784338544	0.3882387908662585
121	day_2	15:34	day	0.5106489166410062	0.3492243138743857	0.3886162485845255	0.3843998756560597
122	day_2	15:49	day	0.5717329566844163	0.42190791546707196	0.45936726975295333	0.372595073426755
123	day_2	16:04	day	0.5858230904945484	0.3741734468606429	0.3555458898085927	0.44907646263705425
124	day_2	16:19	day	0.5366563782336833	0.35867751497702866	0.33147447204317926	0.3904732296946066
125	day_2	16:34	day	0.4945522172662914	0.3751897193261859	0.3256071266481202	0.40190970521036623
126	day_2	16:49	day	0.5080209416195548	0.3496436770597218	0.317	0.4083063951083451
127	day_2	17:04	day	0.49938605213580817	0.34700851454821796	0.3215357088827067	0.37616551398728504
128	day_2	17:19	day	0.5557409654074751	0.41079826548238013	0.40034136358560374	0.4056632993885431
129	day_2	17:34	day	0.557083492913028	0.3838509618376716	0.4121681365613304	0.40525837281529814
130	day_2	17:49	day	0.5386673961738425	0.362750741071972	0.349	0.4094813892102993
131	day_2	18:04	day	0.5449074041031493	0.4066329548545087	0.35280101809258857	0.4621737506625512
132	day_2	18:19	day	0.5170062919993917	0.35848391669218027	0.30882032095487993	0.44020094756715555
133	day_2	18:34	day	0.6040030092171005	0.3324157045022388	0.4849529755598208	0.46254580769430503
134	day_2	18:49	day	0.6276357101793194	0.4256697570597036	0.4995096514311457	0.45243274519755083
135	day_2	19:04	day	0.5934306710268271	0.41128476814700204	0.44983665133318956	0.3996052524206991
136	day_2	19:19	day	0.6466883377933973	0.5697605486064108	0.5283925707834568	0.45163361560513293
137	day_2	19:34	day	0.6343755813260308	0.5223541152832829	0.4883153061340426	0.49626093685367745
138	day_2	19:49	day	0.599657472494447	0.5634585933230915	0.4552549769997844	0.45076633721050025
