20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
18/06/2014;00:16;30300777;male;69,0;69,0;27,5
27/01/2015;00:30;30322409;female;101,0;101,0;22,7
18/06/2014;05:01;30300775;female;43,0;43,0;24,0
23/03/2015;22:30;30327906;male;111,0;111,0;27,0
19/05/2015;14:45;30332401;female;52,0;52,0;25,4
24/03/2015;05:15;30327907;male;82,0;82,0;26,2
26/01/2015;13:30;30322409;female;84,0;84,0;22,7
17/06/2014;19:01;30300775;female;69,0;69,0;24,0
18/06/2014;05:16;30300777;male;82,0;82,0;27,5
23/03/2015;18:15;30327907;male;90,0;90,0;26,2
19/05/2015;16:45;30332401;female;83,0;83,0;25,4
03/11/2014;19:15;30314512;female;90,0;90,0;26,3
24/03/2015;01:15;30327906;male;71,0;71,0;27,0
18/06/2014;07:31;30300775;female;45,0;45,0;24,0
20/05/2015;04:15;30332480;male;72,0;72,0;28,7
17/06/2014;13:31;30300781;female;53,0;53,0;23,3
17/06/2014;23:31;30300774;female;51,0;51,0;21,5
17/06/2014;16:46;30300781;female;80,0;80,0;23,3
17/06/2014;19:31;30300774;female;88,0;88,0;21,5
23/03/2015;18:30;30327906;male;94,0;94,0;27,0
18/06/2014;02:31;30300777;male;69,0;69,0;27,5
17/06/2014;14:16;30300775;female;53,0;53,0;24,0
03/11/2014;21:45;30314512;female;71,0;71,0;26,3
20/05/2015;00:30;30332480;male;50,0;50,0;28,7
20/05/2015;05:30;30332410;female;39,0;39,0;26,8
17/06/2014;20:01;30300777;male;88,0;88,0;27,5
03/11/2014;21:00;30314490;male;118,0;118,0;27,9
19/05/2015;19:45;30332406;male;72,0;72,0;32,4
03/11/2014;18:15;30314512;female;80,0;80,0;26,3
23/03/2015;17:15;30327906;male;94,0;94,0;27,0
27/01/2015;00:00;30322409;female;97,0;97,0;22,7
23/03/2015;19:45;30327906;male;85,0;85,0;27,0
19/05/2015;13:15;30332480;male;62,0;62,0;28,7
26/01/2015;12:45;30322409;female;79,0;79,0;22,7
20/05/2015;03:00;30332406;male;108,0;108,0;32,4
17/06/2014;22:16;30300774;female;97,0;97,0;21,5
27/01/2015;03:00;30322409;female;58,0;58,0;22,7
03/11/2014;12:15;30314512;female;83,0;83,0;26,3
19/05/2015;12:30;30332406;male;89,0;89,0;32,4
17/06/2014;21:01;30300781;female;92,0;92,0;23,3
18/06/2014;07:01;30300775;female;40,0;40,0;24,0
19/05/2015;14:15;30332480;male;61,0;61,0;28,7
18/06/2014;05:31;30300775;female;41,0;41,0;24,0
17/06/2014;23:31;30300775;female;53,0;53,0;24,0
24/03/2015;00:30;30327907;male;82,0;82,0;26,2
19/05/2015;15:45;30332401;female;54,0;54,0;25,4
23/03/2015;21:00;30327906;male;56,0;56,0;27,0
20/05/2015;06:15;30332410;female;40,0;40,0;26,8
19/05/2015;20:45;30332480;male;68,0;68,0;28,7
03/11/2014;15:15;30314498;male;47,0;47,0;30,9
26/01/2015;14:45;30322409;female;53,0;53,0;22,7
23/03/2015;19:30;30327906;male;100,0;100,0;27,0
17/06/2014;12:31;30300774;female;71,0;71,0;21,5
17/06/2014;14:01;30300775;female;65,0;65,0;24,0
17/06/2014;16:31;30300775;female;71,0;71,0;24,0
03/11/2014;17:00;30314498;male;71,0;71,0;30,9
03/11/2014;20:15;30314490;male;119,0;119,0;27,9
24/03/2015;05:30;30327906;male;59,0;59,0;27,0
17/06/2014;21:46;30300781;female;69,0;69,0;23,3
18/06/2014;02:01;30300781;female;100,0;100,0;23,3
17/06/2014;19:01;30300781;female;88,0;88,0;23,3
23/03/2015;13:30;30327906;male;67,0;67,0;27,0
03/11/2014;14:15;30314512;female;73,0;73,0;26,3
19/05/2015;22:15;30332401;female;84,0;84,0;25,4
04/11/2014;00:00;30314498;male;77,0;77,0;30,9
17/06/2014;20:01;30300774;female;92,0;92,0;21,5
19/05/2015;12:00;30332410;female;75,0;75,0;26,8
20/05/2015;02:00;30332401;female;43,0;43,0;25,4
20/05/2015;06:30;30332480;male;85,0;85,0;28,7
03/11/2014;13:15;30314512;female;73,0;73,0;26,3
18/06/2014;01:01;30300781;female;56,0;56,0;23,3
17/06/2014;23:16;30300775;female;70,0;70,0;24,0
03/11/2014;14:45;30314490;male;72,0;72,0;27,9
18/06/2014;00:16;30300774;female;44,0;44,0;21,5
20/05/2015;01:15;30332401;female;56,0;56,0;25,4
24/03/2015;00:45;30327907;male;87,0;87,0;26,2
24/03/2015;04:30;30327906;male;86,0;86,0;27,0
04/11/2014;06:30;30314498;male;51,0;51,0;30,9
18/06/2014;02:01;30300777;male;82,0;82,0;27,5
19/05/2015;21:00;30332480;male;67,0;67,0;28,7
17/06/2014;20:16;30300775;female;77,0;77,0;24,0
17/06/2014;21:31;30300774;female;75,0;75,0;21,5
23/03/2015;20:00;30327906;male;76,0;76,0;27,0
03/11/2014;14:00;30314512;female;81,0;81,0;26,3
23/03/2015;22:15;30327907;male;99,0;99,0;26,2
19/05/2015;15:30;30332410;female;53,0;53,0;26,8
19/05/2015;13:30;30332410;female;71,0;71,0;26,8
