"";"Datetime";"Animal No._NA";"Box_NA";"TempC_[°C]";"HumC_[%]";"LightC_[%]";"S.Flow_[l/min]";"Ref.O2_[%]";"Ref.CO2_[%]";"Flow_[l/min]";"Temp_[°C]";"O2_[%]";"CO2_[%]";"dO2_[%]";"dCO2_[%]";"VO2(1)_[ml/h/kg]";"VO2(2)_[ml/h/kg]";"VO2(3)_[ml/h]";"VCO2(1)_[ml/h/kg]";"VCO2(2)_[ml/h/kg]";"VCO2(3)_[ml/h]";"RER_NA";"H(1)_[kcal/h/kg]";"H(2)_[kcal/h/kg]";"H(3)_[kcal/h]";"XT+YT_[Cnts]";"XT_[Cnts]";"XA_[Cnts]";"XF_[Cnts]";"YT_[Cnts]";"YA_[Cnts]";"YF_[Cnts]";"Z_[Cnts]";"CenT_[Cnts]";"CenA_[Cnts]";"CenF_[Cnts]";"PerT_[Cnts]";"PerA_[Cnts]";"PerF_[Cnts]";"DistK_[cm]";"DistD_[cm]";"Speed_[cm/s]";"Drink_[ml]";"Feed1_[g]";"Datetime2";"hour";"minutes";"MeasPoint";"diff.sec";"running_total.sec";"running_total.hrs";"running_total.hrs.round";"timeintervalinmin";"running_total.hrs.halfhour";"HP";"HP2"
"46";"09/11/2020 15:38";6715;3;23;55;49;0,35;20,82;0,042;0,35;23,4;20,56;0,269;0,255;0,227;2489;960;55;2161;833;48;0,868;12,2;4,704;0,27;386;211;136;75;175;100;75;31;16;15;1;370;221;149;16202;211;0;0,29;0,33;2020-11-09 15:38:00;15;38;23;900;19800;5,5;5;0,5;5,5;313,56732;312,4682
"47";"09/11/2020 15:53";6722;2;23,1;55;49;0,35;20,82;0,042;0,35;23,6;20,43;0,381;0,391;0,338;3766;1462;85;3143;1220;71;0,835;18,318;7,11;0,416;1006;483;360;123;523;375;148;217;422;332;90;584;403;181;12196;702;1;0,05;0,26;2020-11-09 15:53:00;15;53;24;900;20700;5,8;5;0,833333333333333;5,83333333333333;479,9253;478,89425
"48";"09/11/2020 15:53";6715;3;23,1;55;49;0,35;20,82;0,042;0,35;23,4;20,56;0,269;0,259;0,226;2541;980;56;2147;828;47;0,845;12,39;4,777;0,274;972;520;388;132;452;310;142;162;142;118;24;830;580;250;16867;665;1;0,29;0,33;2020-11-09 15:53:00;15;53;24;900;20700;5,8;5;0,833333333333333;5,83333333333333;317,12016;316,3076
"49";"09/11/2020 16:08";6722;2;22,9;55;49;0,35;20,82;0,042;0,35;23,6;20,42;0,41;0,404;0,368;3814;1480;87;3394;1318;77;0,89;18,786;7,292;0,426;902;466;311;155;436;287;149;142;395;254;141;507;344;163;12812;615;1;0,08;0,31;2020-11-09 16:08:00;16;8;25;900;21600;6;6;0;6;499,19904;497,0049
"50";"09/11/2020 16:08";6715;3;22,9;55;49;0,35;20,82;0,042;0,36;23,4;20,51;0,321;0,309;0,279;3114;1201;69;2739;1056;61;0,88;15,3;5,899;0,338;1073;599;447;152;474;305;169;167;179;152;27;894;600;294;17587;720;1;0,31;0,43;2020-11-09 16:08:00;16;8;25;900;21600;6;6;0;6;394,76556;393,1896
"51";"09/11/2020 16:23";6722;2;23,1;55;49;0,35;20,82;0,042;0,35;23,6;20,48;0,351;0,338;0,309;3188;1238;72;2847;1105;65;0,893;15,714;6,099;0,357;47;9;0;9;38;13;25;0;47;13;34;0;0;0;12822;11;0;0,08;0,31;2020-11-09 16:23:00;16;23;26;900;22500;6,2;6;0,333333333333333;6,33333333333333;413,490528;411,62328
"52";"09/11/2020 16:23";6715;3;23,1;55;49;0,35;20,82;0,042;0,35;23,4;20,57;0,271;0,246;0,229;2414;931;53;2199;848;49;0,911;11,946;4,606;0,264;406;230;137;93;176;95;81;15;49;42;7;357;190;167;17823;237;0;0,38;0,43;2020-11-09 16:23:00;16;23;26;900;22500;6,2;6;0,333333333333333;6,33333333333333;305,966244;304,36469
"53";"09/11/2020 16:38";6722;2;22,9;55;49;0,35;20,82;0,042;0,35;23,6;20,37;0,447;0,449;0,405;4245;1648;96;3732;1449;85;0,879;20,859;8,096;0,473;1074;544;391;153;530;374;156;129;335;253;82;739;512;227;13567;745;1;0,08;0,36;2020-11-09 16:38:00;16;38;27;900;23400;6,5;6;0,5;6,5;549,078912;546,90912
"54";"09/11/2020 16:38";6715;3;22,9;55;49;0,35;20,82;0,042;0,35;23,4;20,59;0,25;0,227;0,208;2201;849;49;1976;762;44;0,898;10,86;4,187;0,24;32;9;2;7;23;1;22;0;0;0;0;32;3;29;17833;9;0;0,39;0,44;2020-11-09 16:38:00;16;38;27;900;23400;6,5;6;0,5;6,5;281,811936;280,48286
"55";"09/11/2020 16:53";6722;2;23;55;49;0,35;20,82;0,042;0,35;23,6;20,37;0,46;0,447;0,418;4206;1632;95;3859;1498;88;0,918;20,843;8,09;0,473;1325;669;493;176;656;485;171;206;401;321;80;924;657;267;14520;953;1;0,1;0,48;2020-11-09 16:53:00;16;53;28;900;24300;6,8;6;0,833333333333333;6,83333333333333;549,53928;546,5103
"56";"09/11/2020 16:53";6715;3;23;55;49;0,35;20,82;0,042;0,35;23,3;20,49;0,338;0,333;0,296;3247;1252;72;2807;1082;62;0,865;15,903;6,132;0,351;695;342;199;143;353;218;135;75;46;36;10;649;381;268;18170;338;0;0,39;0,47;2020-11-09 16:53:00;16;53;28;900;24300;6,8;6;0,833333333333333;6,83333333333333;410,12784;408,7404
