"";"Genotype";"Animal";"Time";"HP2.mean";"HP2.sd";"VO2.mean";"VO2.sd";"VCO2.mean";"VCO2.sd";"RER.mean";"RER.sd"
"107";"ko";2263;26;355,9304075;74,4056307221261;63,0833333333333;13,0972469927034;53,25;11,4027508642751;0,839833333333333;0,0239006783218055
"108";"ko";2265;26;225,359328333333;58,3938185690592;40,3333333333333;10,1025049398952;32,3333333333333;9,50916623181246;0,796833333333333;0,0383259544940343
"109";"wt";2195;27;262,488604166667;42,4430031980219;46,4166666666667;7,22946412365063;39,3333333333333;7,523699927965;0,847416666666667;0,0232279546836969
"110";"wt";2262;27;305,087079166667;72,0342522557558;54,5833333333333;12,6092198110123;43,75;11,1935452179126;0,8;0,0327968956402334
"111";"ko";2263;27;287,626921666667;45,5083153635101;51,25;7,97866473221497;42,1666666666667;6,92601595216882;0,818583333333333;0,0148596973744624
"112";"ko";2265;27;261,648084166667;66,0910663902436;46,6666666666667;11,4759300144681;37,9166666666667;10,8163036312053;0,8105;0,0339959890682309
"113";"wt";2195;28;278,876311666667;64,1595519923394;49,4166666666667;11,3414632159518;41,6666666666667;9,47084841484488;0,8415;0,02523525672186
"114";"wt";2262;28;277,480186666667;34,8068667213111;50;6,03022689155527;38,8333333333333;5,62192676989487;0,77425;0,0268873914350541
"115";"ko";2263;28;309,829825;67,8692668311391;55,1666666666667;11,8001027216895;45,1666666666667;10,7520258838072;0,819416666666667;0,0259806163176015
"116";"ko";2265;28;217,14542;39,1546628140302;38,6666666666667;6,73300329224139;31,9166666666667;6,62582184725149;0,819416666666667;0,0294014790392757
"117";"wt";2195;29;306,51092;86,5765305160941;54,3333333333333;15,1016756044025;45,5833333333333;13,7143477181138;0,836416666666667;0,0258437906498159
"118";"wt";2262;29;313,044923333333;83,8797079306052;56,0833333333333;14,773799494888;44,8333333333333;12,8546654659864;0,795333333333333;0,0375459314666312
"119";"ko";2263;29;268,044725833333;42,8129434794053;48,1666666666667;7,57787849099221;37,9166666666667;6,34548276454609;0,785583333333333;0,0179821038982112
"120";"ko";2265;29;225,562733333333;53,7889783890026;40,4166666666667;9,32697294101491;32,1666666666667;8,63221590990121;0,79275;0,0320769670976203
"121";"wt";2195;30;295,982663333333;83,0618567738649;52,75;14,6481460198273;43,4166666666667;12,6811121775894;0,8165;0,0247294450917414
"122";"wt";2262;30;352,132189166667;77,221270730973;62,4166666666667;13,6279014147336;52,3333333333333;11,7885409177598;0,839666666666667;0,0113003083894631
"123";"ko";2263;30;316,123914166667;65,5471744172328;56,3333333333333;11,4362528298337;46;10,5830052442584;0,816666666666667;0,021529402024096
