timestep	day	time	daytime	6722	6715
95	day_1	09:38	day	0.37255322718396533	0.23484341012472337
96	day_1	09:53	day	0.35377661359198265	0.24872582543853744
97	day_2	10:08	day	0.37139520187854125	0.2388511051290576
98	day_2	10:23	day	0.3818667969917555	0.23628186956579675
99	day_2	10:38	day	0.35300275803301995	0.22839505710664887
100	day_2	10:53	day	0.37518532840566177	0.23022747436803762
101	day_2	11:08	day	0.3242785470684165	0.22153902466483782
102	day_2	11:23	day	0.3801257605990704	0.26552363465616935
103	day_2	11:38	day	0.3922997796426904	0.2286857209631133
104	day_2	11:53	day	0.36004909013443537	0.2343379331688032
105	day_2	12:08	day	0.3473979599115612	0.29846704088574333
106	day_2	12:23	day	0.36150413704952994	0.23172472615220402
107	day_2	12:38	day	0.33131936310379206	0.24016758273861122
108	day_2	12:53	day	0.3551144512370286	0.2311708805976116
109	day_2	13:08	day	0.3217333167535491	0.22600769500433424
110	day_2	13:23	day	0.36536789877830356	0.2637824192089635
111	day_2	13:38	day	0.34482598095638	0.2527236268658705
112	day_2	13:53	day	0.3285234432806696	0.2334181421196515
113	day_2	14:08	day	0.3267768908219446	0.25868356134194065
114	day_2	14:23	day	0.3476139039104045	0.27185936925230564
115	day_2	14:38	day	0.36366767842099396	0.2578379136930561
116	day_2	14:53	day	0.34603061559318155	0.22283681440672262
117	day_2	15:08	day	0.3706839493891518	0.22361263789768537
118	day_2	15:23	day	0.32167347171699584	0.2541439675581889
119	day_2	15:38	day	0.37953144014976764	0.23924616223570647
120	day_2	15:53	day	0.33918064402950765	0.24189011031814828
121	day_2	16:08	day	0.3844252630117989	0.2423472576268905
122	day_2	16:23	day	0.3577821296580226	0.21124343349561997
123	day_2	16:38	day	0.3875672945790271	0.26146374302674297
124	day_2	16:53	day	0.39048786608137215	0.2916687015006918
125	day_2	17:08	day	0.3373064046285781	0.18459785595942504
126	day_2	17:23	day	0.3153069590885019	0.22243137250714728
127	day_2	17:38	day	0.3758869349127811	0.23699950878407466
128	day_2	17:53	day	0.48528461759438035	0.2250967761488387
129	day_2	18:08	day	0.3818756255507393	0.31066654187951914
130	day_2	18:23	day	0.4074445692429386	0.24703961325949883
131	day_2	18:38	day	0.3898483224505016	0.33951268074432905
132	day_2	18:53	day	0.4186078333844407	0.24935446141529935
133	day_2	19:08	day	0.378728632377395	0.24707751916225604
134	day_2	19:23	day	0.39573911004955103	0.3149374185819813
135	day_2	19:38	day	0.4195259240837277	0.22949016485024026
136	day_2	19:53	day	0.3770250995271416	0.2526489532981838
137	day_2	20:08	day	0.4221754051934297	0.2039973102114077
138	day_2	20:23	day	0.3490452374481672	0.23910719989325946
139	day_2	20:38	day	0.4345535044139273	0.2366797333155207
140	day_2	20:53	day	0.39055322718396535	0.24496982805307124
141	day_2	21:08	day	0.3734390531768987	0.24550058859466095
142	day_2	21:23	day	0.3704917330342399	0.29046594159940986
143	day_2	21:38	day	0.37833067246583385	0.2593373640498894
144	day_2	21:53	day	0.4352895792004964	0.24986429656505915
145	day_2	22:08	day	0.3016886480319053	0.19156764506100202
146	day_2	22:23	day	0.41746635627713635	0.25782972747279653
147	day_2	22:38	day	0.4119619419976444	0.14610117329417258
148	day_2	22:53	day	0.3858474907606158	0.20908851202559067
149	day_2	23:08	day	0.41491644158611485	0.22595114018540247
150	day_2	23:23	day	0.31694181834321833	0.27828077027946335
151	day_2	23:38	day	0.4355590204799672	0.2787802206362966
152	day_2	23:53	day	0.39468946545519173	0.24624123492295302
153	day_2	00:08	day	0.3621991185707616	0.2311456359634363
154	day_2	00:23	day	0.4198127452512041	0.25089120960448175
155	day_2	00:38	day	0.4152184248019013	0.2590642887747603
156	day_2	00:53	day	0.40445780494811445	0.2490566327219203
157	day_2	01:08	day	0.3820659155625171	0.25854671966917203
158	day_2	01:23	day	0.40278488769104254	0.254506046074834
159	day_2	01:38	day	0.3904360179139168	0.22432641013804902
160	day_2	01:53	day	0.3624881433113341	0.29532364244646825
161	day_2	02:08	day	0.3598292934493239	0.2485593419862597
162	day_2	02:23	day	0.38086431618869754	0.26408957236042985
163	day_2	02:38	day	0.3843678987783036	0.23420772616552965
164	day_2	02:53	day	0.39625344754127495	0.21953409735208437
165	day_2	03:08	day	0.3942997796426904	0.2483362647635559
166	day_2	03:23	day	0.33678020331488845	0.2495066151937479
167	day_2	03:38	day	0.4073979599115612	0.26322914277328496
168	day_2	03:53	day	0.3567738555589627	0.234115386113519
169	day_2	04:08	day	0.3760879798266768	0.2284461544454076
170	day_2	04:23	day	0.3759790446556881	0.3248560713933053
171	day_2	04:38	day	0.3288731447476813	0.26948243089441176
172	day_2	04:53	day	0.39709818026887084	0.22195220052024164
173	day_2	05:08	day	0.3510521253974173	0.19384068138463686
174	day_2	05:23	day	0.41479427070995023	0.2390412427132519
175	day_2	05:38	day	0.3606792650129977	0.2042055275928627
176	day_2	05:53	day	0.37896194199764444	0.25884780727005724
177	day_2	06:08	day	0.37748510804835217	0.23267582738611214
178	day_2	06:23	day	0.40420491186676344	0.24185550227439145
179	day_2	06:38	day	0.29192747371819466	0.223241234922953
180	day_2	06:53	day	0.3823816889434034	0.2386769266724456
181	day_2	07:08	day	0.3588229456933981	0.22490659961315018
182	day_2	07:23	day	0.35350413704952993	0.2105731025411751
183	day_2	07:38	day	0.3880082740990599	0.27068352239044635
184	day_2	07:53	day	0.36366575207785984	0.2522785717067964
185	day_2	08:08	day	0.3386086650743265	0.24016978131127814
186	day_2	08:23	day	0.36903006113325765	0.22587528942839372
187	day_2	08:38	day	0.39961583025353864	0.1916126768491796
188	day_2	08:53	day	0.3367357975566071	0.2511708805976116
189	day_2	09:08	day	0.2869790446556881	0.22286319727872567
190	day_2	09:23	day	0.37395946119458645	0.22040055353831617
191	day_2	09:38	day	0.3105722561851431	0.18911538611351902
192	day_2	09:53	day	0.2545477111179254	0.15650494678850058
193	day_3	10:08	day	0.2245124111485898	0.1588923088908152
194	day_3	10:23	day	0.21743877594693672	0.154840112265723
195	day_3	10:38	day	0.20334335371108586	0.14280000779029886
196	day_3	10:53	day	0.18954771111792543	0.16323407008603838
197	day_3	11:08	day	0.18759404321934087	0.15239285853398193
198	day_3	11:23	day	0.12318092125946963	0.1524670408857433
199	day_3	11:38	day	0.23255046915094538	0.1684516508770749
200	day_3	11:53	day	0.14903861246227945	0.15272582543853744
201	day_3	12:08	day	0.22567319448703388	0.1529478033749078
202	day_3	12:23	day	0.19505460620047532	0.13541264568798422
203	day_3	12:38	day	0.20895946119458642	0.15389340817714867
204	day_3	12:53	day	0.21746332101415441	0.1471708805976116
205	day_3	13:08	day	0.2105912851863209	0.1466725295271118
206	day_3	13:23	day	0.17281770685732015	0.1442252757953707
207	day_3	13:38	day	0.1859784901957642	0.14124616223570646
208	day_3	13:53	day	0.19251516918160977	0.1816170350430192
209	day_3	14:08	day	0.2343356340719499	0.13755824269992625
210	day_3	14:23	day	0.2393734148443435	0.1375093439338344
211	day_3	14:38	day	0.23854771111792542	0.1796467157740226
212	day_3	14:53	day	0.2230220642641597	0.15750274821583365
213	day_3	15:08	day	0.2221202445330305	0.16638300390847507
214	day_3	15:23	day	0.2682895792004964	0.2599230889081521
215	day_3	15:38	day	0.28980391669222033	0.21539615639298232
216	day_3	15:53	day	0.2558149488243002	0.1809478033749078
217	day_3	16:08	day	0.29714230879719017	0.14356813627692738
218	day_3	16:23	day	0.2917278006875092	0.17817307917027853
219	day_3	16:38	day	0.2570719860884809	0.12551321091174866
220	day_3	16:53	day	0.34909901195875664	0.19934342960047052
221	day_3	17:08	day	0.33840899204364105	0.18909400845725793
222	day_3	17:23	day	0.31131495595759995	0.23561707399451348
223	day_3	17:38	day	0.29651131649534157	0.21620829528444346
224	day_3	17:53	day	0.3176552744057039	0.28429290138062563
225	day_3	18:08	day	0.36708246376063686	0.2094390675114815
226	day_3	18:23	day	0.37334363094104783	0.19320719599811004
227	day_3	18:38	day	0.29047463037619625	0.20676983584337008
228	day_3	18:53	day	0.2379145152429807	0.23482366192221538
229	day_3	19:08	day	0.375905132224073	0.19042257821647962
230	day_3	19:23	day	0.3716268623856185	0.2499489416127355
231	day_3	19:38	day	0.2623199175637159	0.24006762558525488
232	day_3	19:53	day	0.35995449958847037	0.2438879506969756
233	day_3	20:08	day	0.3610581959233811	0.25657200325484164
234	day_3	20:23	day	0.39631136623469415	0.2658533426532188
235	day_3	20:38	day	0.3570383352323175	0.21897422519840506
236	day_3	20:53	day	0.31667595252005387	0.24652970020675055
