timestep	day	time	daytime	7546	5052	7547	5053	7548	7540	7541
63	day_1	01:49	day	0.5481041272679822	0.4696052415441986	0.615034156370705	0.4489820537589501	0.48601143822889015	0.3269053159865093	0.37636400707872697
64	day_1	02:04	day	0.6812673274872293	0.41869313671331465	0.597845676443161	0.3892831272770164	0.3891285601941055	0.4441935154363855	0.3995609547819618
65	day_1	02:19	day	0.5948882713531455	0.4078550362140856	0.614373492989509	0.3438508182515162	0.47346932116569385	0.2986578608388143	0.4443035957833328
66	day_1	02:34	day	0.6189672835549428	0.4206005883693865	0.6601634064306434	0.47207322138466656	0.4319650917703143	0.4450944957182618	0.4565971607118687
67	day_1	02:49	day	0.6914238430784149	0.46288894198728614	0.6221149409058998	0.42165742217974933	0.45823424393043066	0.3124371197692315	0.43445365013198955
68	day_1	03:04	day	0.6718716170998177	0.5398203434639204	0.5971023911665165	0.4243348783003573	0.42084225069065384	0.3902619702615481	0.42590272620482456
69	day_1	03:19	day	0.64951708397032	0.49862683043386724	0.6321903432696638	0.47879185616778813	0.46922852481598565	0.3102970324890705	0.387431188309512
70	day_1	03:34	day	0.6734532172094412	0.3906059941776756	0.6355638362591729	0.41518073601113065	0.46427785071269256	0.35845782851282865	0.3867716465926261
71	day_1	03:49	day	0.6441177638964914	0.4615366086773452	0.6786140352167059	0.3959405494567657	0.429544263196495	0.3743918781324892	0.37677579024851965
72	day_1	04:04	day	0.6742530987971215	0.43463528111955174	0.6169084771038096	0.46487453913248605	0.41377743406027645	0.3693010449338474	0.4160324926772744
73	day_1	04:19	day	0.6542776218017079	0.5059714656916008	0.6008384828933425	0.39689056049356264	0.4270343146866704	0.30825111766731506	0.47717185960125996
74	day_1	04:34	day	0.5830426860703233	0.399437901891651	0.6894524401644501	0.416107514626464	0.38598391572331414	0.40062180216642296	0.37027087693944505
75	day_1	04:49	day	0.5248234878414558	0.5103577391182301	0.679675050480833	0.38698525223955504	0.43942058881200224	0.43874169225807197	0.4324008695785082
76	day_1	05:04	day	0.47201482075170625	0.4655173463750826	0.6065906951525949	0.4550265937219039	0.43569653315321316	0.34702420963328917	0.42869443450704425
77	day_1	05:19	day	0.5790329838174433	0.4051202613318752	0.5379175080138818	0.4921611905297783	0.42428166345565593	0.36073083966383884	0.4246902908511506
78	day_1	05:34	day	0.5523296854356989	0.41608707384866384	0.6637935621797758	0.42288527431314893	0.4023998584875207	0.3503275973820316	0.441654741491118
79	day_1	05:49	day	0.6347916881472094	0.4527941013994396	0.6421113181491245	0.43630250993853326	0.42528190321747295	0.48382099967746756	0.4216405669804276
80	day_1	06:04	day	0.5712664107364186	0.41191976853960377	0.5800215806494555	0.46961255657712453	0.4323780550963897	0.3348368611613467	0.42011624853163376
81	day_1	06:19	day	0.6179539716156459	0.4747416859574534	0.6623806605574615	0.4080660103242796	0.4524483510793952	0.42620687247544164	0.39408244271461074
82	day_1	06:34	day	0.5961226150229315	0.5124571985374012	0.6796589299484065	0.4606271415177341	0.4584854054423797	0.45818751010187053	0.3872846210468745
83	day_1	06:49	day	0.5515600947298557	0.4603631449265192	0.6317702221156648	0.4180197083011878	0.49538544082049957	0.39409166801358275	0.3446896342812763
84	day_1	07:04	day	0.5313045703695142	0.4136815724632596	0.6277325209337828	0.38631180869872916	0.46441296332607546	0.3673641676095079	0.41174961517340947
85	day_1	07:19	day	0.49408143776501745	0.362082489360827	0.644208275180478	0.3419085067346126	0.43787823198698894	0.3662733344108662	0.38661613544832707
86	day_1	07:34	day	0.518049638070771	0.37980491301601776	0.6504739688501735	0.4418745391324861	0.40141677606903886	0.3493641676095079	0.41763991041055326
87	day_1	07:49	day	0.5397474932644769	0.42240786231629796	0.5890502769031314	0.37501249724080077	0.39614273809930967	0.3677734152258302	0.39107589894583317
88	day_1	08:04	day	0.5552055616003582	0.3726831120737011	0.5614021632613188	0.3915340490120442	0.38734731339086576	0.41973684499835395	0.3774270446536184
89	day_1	08:19	day	0.575013311939297	0.3806931367133147	0.5376553331734972	0.3817867328072099	0.36818277190042514	0.3917234879592978	0.3777716465926261
90	day_1	08:34	day	0.5614311197680749	0.36936314492651917	0.6265960513421597	0.3777580513854972	0.4056205180557626	0.3293027145637294	0.3377378407756031
91	day_1	08:49	day	0.5282207070412768	0.36409097438999904	0.5671544015024372	0.37206072414386593	0.3554017648590023	0.23816946743302436	0.36818146005279584
92	day_1	09:04	day	0.46246351152391973	0.32910637049441405	0.531	0.4000285186018773	0.441941975550717	0.2922901923396143	0.379257358998629
93	day_1	09:19	day	0.4456160927394761	0.427921342493533	0.49968941159860386	0.43679025692748574	0.47154235682501333	0.31390682398646325	0.3593184268638975
94	day_1	09:34	day	0.5668740426630376	0.43525366086773454	0.5134219325323867	0.3853799067228175	0.4344709877753585	0.35990916680135826	0.41099345623122246
95	day_1	09:49	day	0.5612040527879489	0.3800994594191711	0.6001956994592286	0.3831559043493646	0.4026118195031865	0.3122733344108662	0.36660676116340457
96	day_1	10:04	day	0.5026327469928038	0.37719891883834217	0.5858168762620208	0.3344819723490324	0.3897564639739778	0.30972917003395684	0.35595136310241227
97	day_2	10:19	day	0.5637420500764384	0.36709097438999905	0.532	0.2831232103478697	0.3948725128725439	0.3257366833684259	0.358
98	day_2	10:34	day	0.5022839817405571	0.3586646024049155	0.4771095327526028	0.42245152886718174	0.4060942455074351	0.3162741692258072	0.3488689203878015
99	day_2	10:49	day	0.43126096754838	0.35394525797060766	0.5133842313505047	0.3725572814335078	0.43666710427615546	0.2806375020203741	0.3668202834902138
100	day_2	11:04	day	0.4102094959759874	0.3610994594191711	0.5753644620794367	0.38518458577107734	0.42353389803425423	0.295000834814941	0.45529530847154565
101	day_2	11:19	day	0.43088886341474386	0.32666460240491546	0.5529281944111452	0.3751559043493646	0.4374709877753585	0.2903641676095079	0.39736640719161087
102	day_2	11:34	day	0.535467445899549	0.38376635406800497	0.4841328728167139	0.34451786483113217	0.41375265123101446	0.3	0.2654185311752178
103	day_2	11:49	day	0.5142933593042248	0.361182701413475	0.52414187774492	0.3640591249035634	0.38535493887679245	0.2973641676095079	0.4454353319654056
104	day_2	12:04	day	0.4365092152190616	0.44225366086773454	0.5512585780654754	0.38852683795165716	0.419229358120818	0.293	0.383
105	day_2	12:19	day	0.5236312381803947	0.3654726289853038	0.602614035216706	0.38322400237345294	0.39328356982713764	0.29227333441086617	0.3719513631024123
106	day_2	12:34	day	0.5742633931116	0.36411102366922615	0.5551921026843193	0.36250712965046933	0.34951483431943736	0.3032825173752173	0.35673784077560305
107	day_2	12:49	day	0.5022467388582723	0.349507321735469	0.5241454225560972	0.37325268379516574	0.46597164418959164	0.2601968546961496	0.35160676116340456
108	day_2	13:04	day	0.5112119215392075	0.35478103188243065	0.47405027690313134	0.34701249724080074	0.4806052670839091	0.36202254000340717	0.34668920387801533
109	day_2	13:19	day	0.4762079871635782	0.3516268304338672	0.5444255293072959	0.39039961502400533	0.488049565658524	0.31072917003395684	0.34021352232680924
110	day_2	13:34	day	0.480355125191096	0.2896537907883373	0.5404362936501576	0.3874175612650553	0.47914273809930963	0.31000333925976403	0.357
111	day_2	13:49	day	0.5165370805376788	0.2696768849449598	0.6041921286661854	0.3915734656144198	0.48028547619861933	0.3129116712461813	0.3874815687501093
112	day_2	14:04	day	0.5362649019240092	0.4642713835595556	0.6116517104167218	0.37467200712035886	0.458146550842273	0.2953666720543309	0.3630117743978064
113	day_2	14:19	day	0.5156091407390284	0.4142536608677345	0.5562890597156727	0.37036515896237254	0.4539582995892199	0.29155418215620144	0.41341155700317933
114	day_2	14:34	day	0.4086224526783253	0.37325366086773454	0.5170825959135825	0.3801430814688929	0.478486238747212	0.29909500727334676	0.30557098563675855
115	day_2	14:49	day	0.5602418877318323	0.36925366086773453	0.4993931843149787	0.4414193233251932	0.46316370818560826	0.2947283352190158	0.41473784077560305
116	day_2	15:04	day	0.5387641475178047	0.3576052415441986	0.47046680128222107	0.4176415636385082	0.4568202075377059	0.29036834168421294	0.3726067611634046
117	day_2	15:19	day	0.546957905991275	0.35469313671331465	0.5068851110578324	0.3938548308312983	0.4711484572137547	0.317742527073013	0.382
118	day_2	15:34	day	0.491157107652784	0.3297787052950246	0.5378150908654993	0.4102454727347786	0.39180221688953837	0.3355267948930762	0.36760676116340457
119	day_2	15:49	day	0.5614444317073719	0.4191919734196116	0.5441633804487774	0.3941953209517402	0.49400869855257606	0.2956410029100661	0.3748689203878015
120	day_2	16:04	day	0.5112576252343493	0.38091364444132547	0.5318402423079979	0.38972039684325943	0.4836232577320766	0.33673000484889787	0.3668689203878015
121	day_2	16:19	day	0.6519633491793135	0.35821048308839726	0.46917067792606026	0.3860214703613257	0.4708801383584706	0.32809333764346477	0.3869020696349502
122	day_2	16:34	day	0.6131162550840823	0.35806630627944736	0.6062136833337749	0.37701040954099196	0.4493587516197558	0.3341833360271655	0.4179169007155149
123	day_2	16:49	day	0.5728916136671762	0.2985296632586146	0.5406804846159959	0.45301778342121446	0.45988585747291566	0.34254750363667336	0.4102324970632675
124	day_2	17:04	day	0.524280047364928	0.3720786231629794	0.5994183357574774	0.45827239209635356	0.4764205888120022	0.3479116712461813	0.38468920387801536
125	day_2	17:19	day	0.4784620027115105	0.4196499589339774	0.6044542255609717	0.43820429407226513	0.4421399984229957	0.3345533473412604	0.37247568155120614
126	day_2	17:34	day	0.4635007544062046	0.3718689270515467	0.5769658955930272	0.39595689645751314	0.49261670531279916	0.3194575052529727	0.49185343273736254
127	day_2	17:49	day	0.44137328825683303	0.3566530381548604	0.5420089789463401	0.4358565928914362	0.482370189848646	0.32120337158574963	0.3622543023158707
128	day_2	18:04	day	0.4779397429255381	0.37329143283878274	0.5073177819512147	0.42569171542154666	0.46409531857408437	0.3897734152258302	0.4512615026545226
129	day_2	18:19	day	0.5823399797501775	0.3238673530976176	0.49714185176305403	0.35951930125159925	0.3668310522235807	0.28823859544319996	0.3760028305161449
130	day_2	18:34	day	0.4885867186084497	0.4584440946769046	0.49558176816998695	0.4064925447098598	0.43214595729925775	0.42256253030561153	0.4440983607683108
131	day_2	18:49	day	0.5896057984249976	0.4166861912945841	0.5344561148849577	0.4885178648311322	0.4887272748587371	0.37281833360271655	0.47616248531633754
132	day_2	19:04	day	0.6017553620157354	0.4067817845159076	0.6018223363790499	0.4609315763362407	0.5315654730446105	0.356118543721623	0.433
133	day_2	19:19	day	0.5671453045258963	0.4642320719780659	0.5773519902856518	0.5199495225772907	0.518575004902019	0.3719934831103999	0.40254743684114574
134	day_2	19:34	day	0.6807774594571017	0.42285890241193314	0.6504650418675656	0.5149282150358004	0.50676242285024	0.44436750686927196	0.4835005434865677
135	day_2	19:49	day	0.7030898985778743	0.47131531397236975	0.665457848317747	0.4803816687829554	0.4757872056795019	0.3731975278811626	0.459963794070093
136	day_2	20:04	day	0.5917583796405538	0.45849958933977397	0.6598187136222745	0.49641371150510855	0.47999368734253967	0.47509683853315676	0.435
137	day_2	20:19	day	0.680613667176256	0.49627446278043863	0.6790790251205393	0.48325444585530364	0.5323685232389812	0.43650508970461005	0.41057818597541046
138	day_2	20:34	day	0.6535606867914542	0.4520393115814897	0.6507774156654833	0.4925356482523466	0.49183379189989473	0.41754666882173236	0.49031537018113924
139	day_2	20:49	day	0.6185131495946907	0.3511348704593257	0.6260790511024055	0.514216791313066	0.4729593726558692	0.36954666882173237	0.503761389571216
140	day_2	21:04	day	0.6394435149565612	0.45201768834833345	0.6592316412264551	0.44635474942138054	0.4864189222023376	0.3418351915314647	0.41533020126170384
141	day_2	21:19	day	0.6810717355121374	0.41938545210617706	0.6525978887024134	0.454266780276269	0.46537614872490807	0.4258984758370532	0.4628379450869234
142	day_2	21:34	day	0.6489466949259858	0.48281801687651427	0.6566518143441863	0.4805873992756876	0.49240557760196574	0.3936535251341813	0.5081073046499723
143	day_2	21:49	day	0.6479427605503565	0.49999688643562934	0.6896840554090391	0.4549333383963786	0.4985254392434951	0.35153613948735535	0.4726595417168859
144	day_2	22:04	day	0.6369427605503565	0.5016160188172892	0.6736840554090391	0.5131808988309662	0.46643119373606	0.5135810578642417	0.429033805817023
145	day_2	22:19	day	0.6946602876222085	0.5135504995148064	0.673930031771399	0.5322039684325943	0.57931240516118	0.3478428664958617	0.4135450367282618
146	day_2	22:34	day	0.632629404678773	0.39705857388375226	0.6684524661463163	0.5150070482405515	0.45114297786112667	0.33982116130739565	0.4128355449740394
147	day_2	22:49	day	0.6917750338938817	0.44372009706778476	0.6636481656055447	0.49703044348185066	0.4507024920294752	0.37750775577936113	0.42568963428127626
148	day_2	23:04	day	0.64351708397032	0.5348874023768447	0.66413289879858	0.4527974679878728	0.5203579183149235	0.33238202198312505	0.41540195655164347
149	day_2	23:19	day	0.6528319486543128	0.4539891883834219	0.6990574704529499	0.4698654031921257	0.54250828190016	0.35054532245170633	0.4965105743413644
150	day_2	23:34	day	0.7052688362996385	0.5227825371493846	0.652892304607651	0.4691035020466819	0.4769040878829002	0.47850274688971506	0.40178450796356774
151	day_2	23:49	day	0.7039912144979307	0.5235073217354691	0.5530000779455984	0.4478974459142788	0.5439125466736593	0.35026030063166613	0.45844470625032796
152	day_2	00:04	day	0.6939318741742796	0.4206476323465713	0.6051580502410787	0.5705088917106073	0.41849493729978815	0.4094918942954819	0.4428824383286175
